FStech & BioScan 
qua., 7 de mai. de 2025

0:43 - felipe silva Fala aí, Marcelo. Boa tarde. Fala aí.

0:46 - Palestrante Não Identificado Cheguei agora.

0:47 - Marcelo Nissenbaum Estava na minha fisioterapia, vim voado.

0:49 - Marcelo Nissenbaum Não bebi nem água. Estou aqui... Pô, bebe uma água, cara. Vai lá.

0:55 - Palestrante Não Identificado Estou esperando aqui, então vamos trazer aqui.

0:59 - felipe silva E aí, como é que tá?

1:01 - Marcelo Nissenbaum Tá tudo em ordem?

1:03 - Marcelo Nissenbaum Tá melhorando, né?

1:04 - Marcelo Nissenbaum Vou te mostrar um negócio aqui pra você ver. Acho que o Miro não entrou ainda, então a gente vai conversando amenidades aqui.

1:14 - Palestrante Não Identificado Quem entrou? Alguém entrou?

1:16 - Palestrante Não Identificado E aí, beleza?

1:17 - Palestrante Não Identificado Entrou?

1:17 - AP Então vamos lá. O Miro entrou.

1:20 - AP Fala aí, Miro, beleza? Tranquilo, meu amigo.

1:23 - felipe silva Pô, desculpa aí o... Não, beleza. Assim, aconteceu de... É incrível, cara, ser um pouco mais cedo, porque como eu tenho aula hoje à noite, então às vezes ficar muito em cima, eu acabo ficando todo embananado aqui, todo atrapalhado.

1:38 - AP Então foi bom, vamos lá. Show. Então beleza, cara, eu queria tirar umas dúvidas, porque acabei que ontem eu saí lá, surgiu um imprevisto, enfim. E eu vi o material que você mandou da proposta, e aí eu queria só tirar umas dúvidas em relação ao desenvolvimento, tá? Tá bom. Então vamos lá, deixa eu só abrir uma coisa aqui Só um pouquinho. Beleza, então vamos lá. Olha, analisando aqui o que você mandou, e aí eu vi aqui que... Eu vou passar um por um, tá? Algumas coisas que eu tinha anotado, que era dúvida, para aí a gente vai falando sobre cada um, tá? Tá bom. No escopo 1, que é o upload de processamento dos PDFs, né? E aí interface web para upload, né? Então basicamente aqui vai ser uma telinha web, né? Onde a gente vai colocar lá, realizar o upload do arquivo. Certo. E a pessoa vai, beleza, selecionar na máquina dela, no WhatsApp, sei lá, qualquer lugar. Selecionei o PDF, cliquei em realizar o upload, importar qualquer coisa que seja.

3:10 - AP Essa é a ideia dessa IDE.

3:13 - Palestrante Não Identificado Seria isso, certo?

3:14 - felipe silva É da interface, né?

3:16 - AP Você disse. Isso, perfeito.

3:17 - Palestrante Não Identificado Da interface web. Isso.

3:19 - felipe silva Exatamente isso.

3:21 - felipe silva Exatamente isso.

3:22 - felipe silva A gente vai replicar o funcionamento que eu mostrei para vocês no CLI, no CLI, no prompt de comando, na tela preta, vamos dizer assim. A gente vai replicar aquilo com uma interface gráfica mais amigável para o usuário. Perfeito.

3:36 - AP E aí, no momento que eu faço, que a pessoa faz o upload desse arquivo, é nesse momento que eu chamo a LLM para ele fazer toda a leitura do PDF e armazenar esses dados no banco de dados. Isso.

3:49 - felipe silva Começa, então, esse processo. É onde dá o start no processo. Isso daí vai subir para o banco de dados vetorial em paralelo com o MCP. Vai andar junto, sempre em conjunto. É o quê? Desculpa. É o que a gente chama de model context protocol. É um protocolo de contexto para modelo de linguagem grande, para LLMs. Isso facilita a interação entre a LLM e o banco de dados vetorial, entendeu? Como se fosse uma ponte. É como se fosse uma chamada de API, só que mais, vamos dizer assim, ela é mais utilizada para modelo de linguagem. Grande. Mais que a LLMM.

4:36 - Marcelo Nissenbaum Só para ter uma noção. Maravilha.

4:39 - AP Vamos lá.

4:40 - AP Maravilha. Show de bola. Então, beleza. Fiz a leitura. O modelo, o LLM vai lá, lê, todo aquele PDF, claro que ontem você mostrou naquele sprint, e ontem você mostrou o código ali, tem a questão daquela semântica, que você vai meio que traçando tudo ali.

